-de
-e
-e
-ede
-en
-ene
-er
-erne
-et
-n
-r
-r
-rne
-s
-t
-t
-t
1930
2020
33
66
99
Aarhus
Afrika
Alfred
Amerika
Asien
Australien
Billund
Danmark
Duo
England
Europa
Frankrig
Frede
Freja
Fyn
Færøerne
Grønland
Grønnegade
Hedvig
Henrik
Henriksen
Hvad hedder du?
I
Ida
Island
Italien
Japan
Josefine
Jylland
Kina
København
Lillebælt
Loke
London
Mellemøsten
Mimer
Niels Bohr
Nordsøen
Norge
Odin
Rasmus
Sjælland
Skandinavien
Storebælt
Sverige
Søren
Thor
Tivoli
Tyskland
USA
Valhal
Yggdrasil
abe
ad
adresse
adressen
advokat
advokaten
af
af
afbryde
afdeling
afgang
afgå
afsted
aftale
aften
aftenen
aftensmad
aftensmaden
agurk
agurken
agurker
aktivitet
alder
aldrig
aldrig
alene
alkohol
alle
allerede
alligevel
alt
alt
altid
altid
amerikansk
anbefale
and
anden
anden
anden
anderledes
andet
andre
angreb
angribe
ankomme
ankomst
ansat
ansigt
ansigter
ansigterne
ansigtet
apotek
apoteket
appelsin
april
arabisk
arbejde
arbejde
arbejder
arbejdet
arm
armbånd
armbåndsur
arme
armen
at
at
at
atmosfære
atom
august
autograf
avis
avisen
aviser
aviserne
avocado
baby
bacon
bad
bad
badedragt
badekar
badeshorts
badet
badeværelse
badeværelset
badminton
bag
bagage
bagagen
bage
bager
bager
bagved
bakke
bakken
bakker
banan
bananer
band
bane
banegård
bange
bank
banke
banken
banker
banker
bankerne
bar
bar
barbere
bare
baren
barn
barnebarn
barneseng
bede
bede om
bedre
bedst
bedste
bedstefar
bedsteforældre
bedstemor
begejstret
begge
begynde
begyndelse
begynder
behøver
beklager
bekymret
ben
benet
bersærk
berømt
berømte
besked
beskidt
bestemme
bestemte
bestik
bestille
bestå
besøg
besøge
besøger
besøget
betale
betaler
betalt
betalte
betyder
bh
bh'en
bh'er
bh'erne
bibliotek
biblioteket
bikini
bil
bilen
bille
billede
billet
billetten
billetter
billig
billige
billigt
biograf
biografen
bjerg
bjerge
bjergene
bjerget
bjørn
bjørne
blad
blade
bladene
bladet
blande
blander
blev
blevet
blive
bliver
bliver
bliver
blod
blodet
blomst
blomster
bluse
blyant
blyanten
blå
blåbær
blåt
blæse
blæser
blød
blød
boede
bog
bogen
boghandel
boghandlen
bold
bolde
bolle
bombe
bor
bord
